ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN9691_c0_g2_i1,TRINITY_DN9691_c0_g2_i1,48,38.012,42.992,11,17,30,235.966,208,TRINITY_DN9691_c0_g2_i1,NAP2_SOLLC,PF02365.16,No apical meristem (NAM) protein,|0006355|0010365|0009793|0009413|0009835|0009825|0010150|0009908,|regulation of transcription DNA-templated|positive regulation of ethylene biosynthetic process|embryo development ending in seed dormancy|response to flooding|fruit ripening|multidimensional cell growth|leaf senescence|flower development,|0003677|0001067|0003700,|DNA binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN17722_c0_g1_i6,TRINITY_DN17722_c0_g1_i6,21.523,298.43,260.185,87.87,54.905,27.934,0,0,TRINITY_DN17722_c0_g1_i6,CALS9_ARATH,PF02364.16,1,|0006075|0008360|0071555|0009734|0055085,|(1->3)-beta-D-glucan biosynthetic process|regulation of cell shape|cell wall organization|auxin-activated signaling pathway|transmembrane transport,|0003843,|13-beta-D-glucan synthase activity,|0000148|0016021,|13-beta-D-glucan synthase complex|integral component of membrane
TRINITY_DN5718_c0_g1_i1,TRINITY_DN5718_c0_g1_i1,15,6,52.736,22.004,7.5,0,562.446,24.993,TRINITY_DN5718_c0_g1_i1,Y5498_ORYSJ,PF02362.22,B3 DNA binding domain ,|0006355|0009873|0006952|0071456|0009791|0009910|0048731|0009648|0009741|0003006|1903507|2000113,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|cellular response to hypoxia|post-embryonic development|negative regulation of flower development|system development|photoperiodism|response to brassinosteroid|developmental process involved in reproduction|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634,|nucleus
TRINITY_DN980_c0_g1_i9,TRINITY_DN980_c0_g1_i9,0,0,0,0,354.261,930.681,33.937,28.365,TRINITY_DN980_c0_g1_i9,SR34_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0000381|0045292|0009734|0055085,|regulation of alternative mRNA splicing via spliceosome|mRNA cis splicing via spliceosome|auxin-activated signaling pathway|transmembrane transport,|0003723,|RNA binding,|0016607|0005829|0016021,|nuclear speck|cytosol|integral component of membrane
TRINITY_DN5718_c0_g1_i2,TRINITY_DN5718_c0_g1_i2,15,6,64.264,22.004,7.5,26,445.28,25.007,TRINITY_DN5718_c0_g1_i2,Y5498_ORYSJ,PF02362.22,B3 DNA binding domain ,|0006355|0009873|0006952|0071456|0009791|0009910|0048731|0009648|0009741|0003006|1903507|2000113,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|cellular response to hypoxia|post-embryonic development|negative regulation of flower development|system development|photoperiodism|response to brassinosteroid|developmental process involved in reproduction|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634,|nucleus
TRINITY_DN8256_c0_g1_i8,TRINITY_DN8256_c0_g1_i8,0,0,20.649,0,5.629,11.229,31.87,21.781,TRINITY_DN8256_c0_g1_i8,MYBS3_ORYSJ,PF00249.32,Myb-like DNA-binding domain  ,|0009723|0009739|0009733|2000469|0009646|0010252|0048527|0090697|0010150|0030307|0009737|0000122|0009744,|response to ethylene|response to gibberellin|response to auxin|negative regulation of peroxidase activity|response to absence of light|auxin homeostasis|lateral root development|post-embryonic plant organ morphogenesis|leaf senescence|positive regulation of cell growth|response to abscisic acid|negative regulation of transcription by RNA polymerase II|response to sucrose,|0003677|0008270|0001067|0003700,|DNA binding|zinc ion binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity,|0005634,|nucleus
TRINITY_DN4705_c0_g1_i9,TRINITY_DN4705_c0_g1_i9,114.005,36.598,52.504,0,46.998,207.437,0,0,TRINITY_DN4705_c0_g1_i9,PATL6_ARATH,PF00650.21,CRAL/TRIO domain   ,|0007049|0051301|1901703|0071365,|cell cycle|cell division|protein localization involved in auxin polar transport|cellular response to auxin stimulus,|0008289|0016787,|lipid binding|hydrolase activity,|0005886|0016021,|plasma membrane|integral component of membrane
TRINITY_DN1674_c0_g1_i2,TRINITY_DN1674_c0_g1_i2,0,0,0,0,0,0,18.504,35.362,TRINITY_DN1674_c0_g1_i2,PSI1_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0045927,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|positive regulation of growth,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN527_c0_g2_i1,TRINITY_DN527_c0_g2_i1,78.438,87.697,45,105.872,219.993,961.555,184,444.423,TRINITY_DN527_c0_g2_i1,BH062_ARATH,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0006355|0009739,|regulation of transcription DNA-templated|response to gibberellin,|0046983|0003700|0003677,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN4396_c0_g1_i8,TRINITY_DN4396_c0_g1_i8,64.703,125.382,256.146,186.074,30.26,0,1331.722,316.657,TRINITY_DN4396_c0_g1_i8,VPE1_PHAVU,PF01650.19,Peptidase C13 family  ,|0051603|0006624|0010150|0009751|0009753|0009723|0009611|0010214|0012501,|proteolysis involved in cellular protein catabolic process|vacuolar protein processing|leaf senescence|response to salicylic acid|response to jasmonic acid|response to ethylene|response to wounding|seed coat development|programmed cell death,|0004197,|cysteine-type endopeptidase activity,|0005773|0009505|0005615|0016021,|vacuole|plant-type cell wall|extracellular space|integral component of membrane
TRINITY_DN8021_c0_g1_i8,TRINITY_DN8021_c0_g1_i8,88.947,38.922,28.589,11.288,0,0,0,0,TRINITY_DN8021_c0_g1_i8,PILS7_ARATH,PF03547.19,Membrane transport protein  ,|0009734|0055085,|auxin-activated signaling pathway|transmembrane transport,.,.,|0016021,|integral component of membrane
TRINITY_DN8416_c0_g1_i2,TRINITY_DN8416_c0_g1_i2,290.101,277.944,349.008,165.053,651,653.281,653.297,922,TRINITY_DN8416_c0_g1_i2,FLA17_ARATH,PF02469.23,Fasciclin domain   ,|0090376|0007155|0009735|0009739|0009651|0009737|0009733,|seed trichome differentiation|cell adhesion|response to cytokinin|response to gibberellin|response to salt stress|response to abscisic acid|response to auxin,.,.,|0016021,|integral component of membrane
TRINITY_DN2732_c0_g1_i1,TRINITY_DN2732_c0_g1_i1,114.427,27.335,12.141,53.29,0,166.904,0,0,TRINITY_DN2732_c0_g1_i1,SOL1_ARATH,PF00246.25,Zinc carboxypeptidase   ,|0006508|0006518|0051604|0009733,|proteolysis|peptide metabolic process|protein maturation|response to auxin,|0004181|0008270,|metallocarboxypeptidase activity|zinc ion binding,|0010008|0005615|0016021,|endosome membrane|extracellular space|integral component of membrane
TRINITY_DN180_c0_g1_i20,TRINITY_DN180_c0_g1_i20,31.377,98.207,53.71,6.682,58.9,28.255,0,0,TRINITY_DN180_c0_g1_i20,ARFW_ORYSI,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634,|nucleus
TRINITY_DN1815_c0_g1_i1,TRINITY_DN1815_c0_g1_i1,111,149.799,132,259,280,488,532,472,TRINITY_DN1815_c0_g1_i1,SRM1_ARATH,PF00249.32,Myb-like DNA-binding domain  ,|0009751|0009739|1905615|0010116|1901371|1901001|0009787|0009651|0009414|0045893|0009738,|response to salicylic acid|response to gibberellin|positive regulation of developmental vegetative growth|positive regulation of abscisic acid biosynthetic process|regulation of leaf morphogenesis|negative regulation of response to salt stress|regulation of abscisic acid-activated signaling pathway|response to salt stress|response to water deprivation|positive regulation of transcription DNA-templated|abscisic acid-activated signaling pathway,|0003677|0001067|0003700|0005515,|DNA binding|regulatory region nucleic acid binding|DNA-binding transcription factor activity|protein binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN19459_c0_g1_i3,TRINITY_DN19459_c0_g1_i3,5,0,0,5,7,15,70,43.828,TRINITY_DN19459_c0_g1_i3,AX6B_SOYBN,PF02519.15,Auxin responsive protein  ,|0009733,|response to auxin,.,.,.,.
TRINITY_DN4181_c0_g2_i8,TRINITY_DN4181_c0_g2_i8,306.058,213.378,598.847,195.531,507.616,535.175,472.13,923.273,TRINITY_DN4181_c0_g2_i8,NEC1_PETHY,PF03083.17,Sugar efflux transporter for intercellular,|0008643|0098656|0048827|0048316|0071446|0048609|0090693|0071215|0071695|0071470|0009790|0046865|0048466|0048437|0048589|0052543|0009555|0015849,|carbohydrate transport|anion transmembrane transport|phyllome development|seed development|cellular response to salicylic acid stimulus|multicellular organismal reproductive process|plant organ senescence|cellular response to abscisic acid stimulus|anatomical structure maturation|cellular response to osmotic stress|embryo development|terpenoid transport|androecium development|floral organ development|developmental growth|callose deposition in cell wall|pollen development|organic acid transport,|0015144|1905201|0005515,|carbohydrate transmembrane transporter activity|gibberellin transmembrane transporter activity|protein binding,|0005886|0016021|0000139,|plasma membrane|integral component of membrane|Golgi membrane
TRINITY_DN3575_c2_g1_i12,TRINITY_DN3575_c2_g1_i12,47.684,61.606,25.358,11.965,2.772,2.832,0,0,TRINITY_DN3575_c2_g1_i12,TBP1_ORYSJ,PF00249.32,Myb-like DNA-binding domain  ,|0009873,|ethylene-activated signaling pathway,|0042162|0008301|0003690|0005515,|telomeric DNA binding|DNA binding bending|double-stranded DNA binding|protein binding,|0005634|0012505|0031967|0031090|0005886|0005737,|nucleus|endomembrane system|organelle envelope|organelle membrane|plasma membrane|cytoplasm
TRINITY_DN4705_c0_g1_i2,TRINITY_DN4705_c0_g1_i2,103.824,27.546,157.714,37.971,63.346,194.196,0,0,TRINITY_DN4705_c0_g1_i2,PATL6_ARATH,PF00650.21,CRAL/TRIO domain   ,|0007049|0051301|1901703|0071365,|cell cycle|cell division|protein localization involved in auxin polar transport|cellular response to auxin stimulus,|0008289|0016787,|lipid binding|hydrolase activity,|0005886|0005737|0016021,|plasma membrane|cytoplasm|integral component of membrane
TRINITY_DN1420_c0_g1_i3,TRINITY_DN1420_c0_g1_i3,53.014,50.933,0,27.375,0,4.548,0,0,TRINITY_DN1420_c0_g1_i3,UBA2B_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0010150|0043450|0009692|0008219|0006952,|leaf senescence|alkene biosynthetic process|ethylene metabolic process|cell death|defense response,|0003723,|RNA binding,|0005634,|nucleus
TRINITY_DN10495_c0_g1_i1,TRINITY_DN10495_c0_g1_i1,8,8,22,37.525,10,172,1756.846,0,TRINITY_DN10495_c0_g1_i1,ERFC3_SOLLC,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0009867,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|jasmonic acid mediated signaling pathway,|0003700|0003677|0005515,|DNA-binding transcription factor activity|DNA binding|protein binding,|0005634,|nucleus
TRINITY_DN5422_c0_g1_i1,TRINITY_DN5422_c0_g1_i1,1039.159,1493.007,1968.12,1834.379,1675,1253,3361.655,4340,TRINITY_DN5422_c0_g1_i1,FLA2_ARATH,PF02469.23,Fasciclin domain   ,|0048364|0048367|0007155|0090376|0009735|0009739|0009651|0009737|0009733|0018215,|root development|shoot system development|cell adhesion|seed trichome differentiation|response to cytokinin|response to gibberellin|response to salt stress|response to abscisic acid|response to auxin|protein phosphopantetheinylation,|0103068|0102953,|leukotriene C4 gamma-glutamyl transferase activity|hypoglycin A gamma-glutamyl transpeptidase activity,|0031225|0031226|0005618|0048046|0099503|0005774|0005829|0009536|0016021,|anchored component of membrane|intrinsic component of plasma membrane|cell wall|apoplast|secretory vesicle|vacuolar membrane|cytosol|plastid|integral component of membrane
TRINITY_DN2783_c0_g1_i1,TRINITY_DN2783_c0_g1_i1,139.833,171.362,207.034,239.034,171.92,611.78,891.753,455.691,TRINITY_DN2783_c0_g1_i1,GID1C_ARATH,PF07859.14,alpha/beta hydrolase fold  ,|0010325|0009939|0048444|0009740,|raffinose family oligosaccharide biosynthetic process|positive regulation of gibberellic acid mediated signaling pathway|floral organ morphogenesis|gibberellic acid mediated signaling pathway,|0010331|0016787,|gibberellin binding|hydrolase activity,|0005634|0005737,|nucleus|cytoplasm
TRINITY_DN722_c0_g1_i13,TRINITY_DN722_c0_g1_i13,156.392,60.581,111.925,36.231,52.05,108.206,2,0,TRINITY_DN722_c0_g1_i13,.,PF13424.7,Tetratricopeptide repeat   ,|1901703|0010073,|protein localization involved in auxin polar transport|meristem maintenance,.,.,|0005739,|mitochondrion
TRINITY_DN2061_c1_g2_i1,TRINITY_DN2061_c1_g2_i1,130.112,251.996,64.553,103.997,8.806,96.396,0,9.361,TRINITY_DN2061_c1_g2_i1,AVT1C_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0006629,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|lipid metabolic process,|0015293|0008081,|symporter activity|phosphoric diester hydrolase activity,|0005774|0016021|0005886,|vacuolar membrane|integral component of membrane|plasma membrane
TRINITY_DN7971_c0_g1_i5,TRINITY_DN7971_c0_g1_i5,54.703,41.024,45.511,0,26.383,150.503,0,0,TRINITY_DN7971_c0_g1_i5,ELP4_ARATH,PF05625.12,PAXNEB protein   ,|0002098|0043609|0031538|0071329|2000024|0010928|0009737|0008284|0006357|0006979,|tRNA wobble uridine modification|regulation of carbon utilization|negative regulation of anthocyanin metabolic process|cellular response to sucrose stimulus|regulation of leaf development|regulation of auxin mediated signaling pathway|response to abscisic acid|positive regulation of cell population proliferation|regulation of transcription by RNA polymerase II|response to oxidative stress,.,.,|0033588|0005634|0005737|0070013|0043233,|elongator holoenzyme complex|nucleus|cytoplasm|intracellular organelle lumen|organelle lumen
TRINITY_DN5462_c0_g1_i1,TRINITY_DN5462_c0_g1_i1,392.026,412.113,498.844,461.232,802.26,1709.573,828,1159.274,TRINITY_DN5462_c0_g1_i1,EF118_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0048825|0009736,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|cotyledon development|cytokinin-activated signaling pathway,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN32986_c0_g1_i1,TRINITY_DN32986_c0_g1_i1,5,3,2,8,9,6,48,23,TRINITY_DN32986_c0_g1_i1,AP2L1_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|1901959|0010187|0045723|0009651|0009414|0009737|0040008,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|positive regulation of cutin biosynthetic process|negative regulation of seed germination|positive regulation of fatty acid biosynthetic process|response to salt stress|response to water deprivation|response to abscisic acid|regulation of growth,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN3127_c0_g1_i6,TRINITY_DN3127_c0_g1_i6,1049.923,373.718,842.483,464.999,141.174,472.55,9,75.278,TRINITY_DN3127_c0_g1_i6,VAB_ARATH,PF08458.11,Plant pleckstrin homology-like region ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021,|integral component of membrane
TRINITY_DN10403_c0_g1_i8,TRINITY_DN10403_c0_g1_i8,55.143,35.504,87.249,0,0,4.525,0,0,TRINITY_DN10403_c0_g1_i8,SRO1_ARATH,PF00644.21,Poly(ADP-ribose) polymerase catalytic domain ,|0010102|0009793|0009651|0010193|0009867|0048573|0009873|0006809|2000377|0009414|0012501|0000303|0042542|0016032,|lateral root morphogenesis|embryo development ending in seed dormancy|response to salt stress|response to ozone|jasmonic acid mediated signaling pathway|photoperiodism flowering|ethylene-activated signaling pathway|nitric oxide biosynthetic process|regulation of reactive oxygen species metabolic process|response to water deprivation|programmed cell death|response to superoxide|response to hydrogen peroxide|viral process,|0003950|0005515,|NAD+ ADP-ribosyltransferase activity|protein binding,|0016363|0005737,|nuclear matrix|cytoplasm
TRINITY_DN4091_c0_g1_i2,TRINITY_DN4091_c0_g1_i2,45.405,43.192,45.183,19.913,0,9.79,0,0,TRINITY_DN4091_c0_g1_i2,NAC74_ORYSJ,PF02365.16,No apical meristem (NAM) protein,|0006355|2000039|0009938|0009845|0048573|0071472|0033619|0009739|1903508|0006986|0009908|0071396|0009755|1901701|0035556|0006629,|regulation of transcription DNA-templated|regulation of trichome morphogenesis|negative regulation of gibberellic acid mediated signaling pathway|seed germination|photoperiodism flowering|cellular response to salt stress|membrane protein proteolysis|response to gibberellin|positive regulation of nucleic acid-templated transcription|response to unfolded protein|flower development|cellular response to lipid|hormone-mediated signaling pathway|cellular response to oxygen-containing compound|intracellular signal transduction|lipid metabolic process,|0003677|0003700|0004435,|DNA binding|DNA-binding transcription factor activity|phosphatidylinositol phospholipase C activity,|0016021|0005634|0005886,|integral component of membrane|nucleus|plasma membrane
TRINITY_DN10403_c0_g1_i2,TRINITY_DN10403_c0_g1_i2,372.048,441.705,716.226,59.799,9.764,59.805,22.129,5.476,TRINITY_DN10403_c0_g1_i2,SRO3_ARATH,PF12174.9,RCD1-SRO-TAF4 (RST) plant domain ,|0010102|0009793|0009651|0010193|0009867|0048573|0009873|0006809|2000377|0009414|0012501|0000303|0042542|0016032,|lateral root morphogenesis|embryo development ending in seed dormancy|response to salt stress|response to ozone|jasmonic acid mediated signaling pathway|photoperiodism flowering|ethylene-activated signaling pathway|nitric oxide biosynthetic process|regulation of reactive oxygen species metabolic process|response to water deprivation|programmed cell death|response to superoxide|response to hydrogen peroxide|viral process,|0003950|0005515,|NAD+ ADP-ribosyltransferase activity|protein binding,|0016363|0005737|0016021,|nuclear matrix|cytoplasm|integral component of membrane
TRINITY_DN177_c0_g1_i53,TRINITY_DN177_c0_g1_i53,18.38,82.271,63.009,30.991,0,0,0,0,TRINITY_DN177_c0_g1_i53,E2FA_ARATH,.,.,|0007049|0006355|0010090|0051446|0008284|0051302|0009733|1903508,|cell cycle|regulation of transcription DNA-templated|trichome morphogenesis|positive regulation of meiotic cell cycle|positive regulation of cell population proliferation|regulation of cell division|response to auxin|positive regulation of nucleic acid-templated transcription,|0046983|0003700|0003677|0001067|0016740,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|transferase activity,|0005667|0005634|0000785|0005737,|transcription regulator complex|nucleus|chromatin|cytoplasm
TRINITY_DN4705_c0_g1_i3,TRINITY_DN4705_c0_g1_i3,1104.446,535.256,1396.21,819.995,713.65,2439.378,67.193,119,TRINITY_DN4705_c0_g1_i3,PATL6_ARATH,PF00650.21,CRAL/TRIO domain   ,|0007049|0051301|1901703|0071365,|cell cycle|cell division|protein localization involved in auxin polar transport|cellular response to auxin stimulus,|0008289|0016787,|lipid binding|hydrolase activity,|0005886|0005737|0016021,|plasma membrane|cytoplasm|integral component of membrane
TRINITY_DN8001_c0_g1_i3,TRINITY_DN8001_c0_g1_i3,43.39,40.093,51.558,7,8.914,82.502,0,0,TRINITY_DN8001_c0_g1_i3,AIL5_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0006952|0060774|0048364|0060772|0040019|0009845|0090697|1905393|0035266|0010073|0019827|0000723,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|auxin mediated signaling pathway involved in phyllotactic patterning|root development|leaf phyllotactic patterning|positive regulation of embryonic development|seed germination|post-embryonic plant organ morphogenesis|plant organ formation|meristem growth|meristem maintenance|stem cell population maintenance|telomere maintenance,|0003700|0003677|0001067|0005515,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|protein binding,|0005634,|nucleus
TRINITY_DN9006_c0_g1_i6,TRINITY_DN9006_c0_g1_i6,0,0,0,17.485,39.395,0,15.507,17.552,TRINITY_DN9006_c0_g1_i6,CPS1_ORYSJ,PF01397.22,Terpene synthase,|0009686,|gibberellin biosynthetic process,|0010333|0000287|0009905|0050559,|terpene synthase activity|magnesium ion binding|ent-copalyl diphosphate synthase activity|copalyl diphosphate synthase activity,|0009507|0016021,|chloroplast|integral component of membrane
TRINITY_DN13160_c0_g1_i1,TRINITY_DN13160_c0_g1_i1,122,42,166,193.22,65,364,6733.94,1,TRINITY_DN13160_c0_g1_i1,RAV2_ARATH,PF02362.22,B3 DNA binding domain ,|0006355|0009873|0006952|0071456|0048573|1903507|2000113,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|cellular response to hypoxia|photoperiodism flowering|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process,|0003700|0003677|0005515|0001067,|DNA-binding transcription factor activity|DNA binding|protein binding|regulatory region nucleic acid binding,|0005634,|nucleus
TRINITY_DN8948_c0_g1_i1,TRINITY_DN8948_c0_g1_i1,14,14,4,10,13,35,57.288,59,TRINITY_DN8948_c0_g1_i1,ERF08_ARATH,PF00847.21,AP2 domain   ,|0006355|0009873|0006952|0009409|0010200|0009617|0010941|0009414|1903508,|regulation of transcription DNA-templated|ethylene-activated signaling pathway|defense response|response to cold|response to chitin|response to bacterium|regulation of cell death|response to water deprivation|positive regulation of nucleic acid-templated transcription,|0003700|0003677|0001067,|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding,|0005634,|nucleus
TRINITY_DN877_c0_g1_i6,TRINITY_DN877_c0_g1_i6,55.182,312.841,158.919,74.076,30.629,113.036,3.646,11.897,TRINITY_DN877_c0_g1_i6,AB19B_ARATH,PF00664.24,ABC transporter transmembrane region ,|0055085|0010541|0043481|0090691|0010540|0010218|0009958|0009640|0048527|0010315|0048443|0009637|0008361|0009733,|transmembrane transport|acropetal auxin transport|anthocyanin accumulation in tissues in response to UV light|formation of plant organ boundary|basipetal auxin transport|response to far red light|positive gravitropism|photomorphogenesis|lateral root development|auxin efflux|stamen development|response to blue light|regulation of cell size|response to auxin,|0042626|0005524|0010329,|ATPase-coupled transmembrane transporter activity|ATP binding|auxin efflux transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN9558_c0_g1_i1,TRINITY_DN9558_c0_g1_i1,62,98.001,24,42.814,23,48,0,4,TRINITY_DN9558_c0_g1_i1,SAU39_ORYSJ,PF02519.15,Auxin responsive protein  ,|0009733,|response to auxin,.,.,|0016021,|integral component of membrane
TRINITY_DN584_c0_g1_i3,TRINITY_DN584_c0_g1_i3,61.831,621.795,549.798,171.044,0,0,6.32,0,TRINITY_DN584_c0_g1_i3,ARFG_ORYSJ,PF06507.14,Auxin response factor  ,|0009734|0006355|0010150|1903507|2000113|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated|leaf senescence|negative regulation of nucleic acid-templated transcription|negative regulation of cellular macromolecule biosynthetic process|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677|0042802|0003677,|DNA binding|identical protein binding|DNA binding,|0005634|0016021|0005634|0016021,|nucleus|integral component of membrane|nucleus|integral component of membrane
TRINITY_DN722_c0_g1_i3,TRINITY_DN722_c0_g1_i3,39.456,39.723,23.338,0,0,33.86,0,0,TRINITY_DN722_c0_g1_i3,.,PF13424.7,Tetratricopeptide repeat   ,|1901703|0010073,|protein localization involved in auxin polar transport|meristem maintenance,.,.,|0005739|0005871|0005874,|mitochondrion|kinesin complex|microtubule
TRINITY_DN13732_c0_g1_i7,TRINITY_DN13732_c0_g1_i7,89.328,24.5,27.485,0,26.348,135.234,1,0,TRINITY_DN13732_c0_g1_i7,ALA4_ARATH,PF16212.6,Phospholipid-translocating P-type ATPase C-terminal ,|0034204|0015914|1901703|0009860|1905038,|lipid translocation|phospholipid transport|protein localization involved in auxin polar transport|pollen tube growth|regulation of membrane lipid metabolic process,|0140326|0000287|0005524,|ATPase-coupled intramembrane lipid transporter activity|magnesium ion binding|ATP binding,|0016021|0005886|0012505|0043231|0005737,|integral component of membrane|plasma membrane|endomembrane system|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN2061_c1_g2_i3,TRINITY_DN2061_c1_g2_i3,33.823,36.889,8.873,5.003,4.891,15.147,0,0,TRINITY_DN2061_c1_g2_i3,AVT1C_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0006629,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|lipid metabolic process,|0015293|0008081,|symporter activity|phosphoric diester hydrolase activity,|0005774|0016021|0005886,|vacuolar membrane|integral component of membrane|plasma membrane
TRINITY_DN10897_c0_g1_i1,TRINITY_DN10897_c0_g1_i1,45.355,48,48.95,43,0,96.746,1,0,TRINITY_DN10897_c0_g1_i1,WIN1_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873|0010166|0010143|0009414,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway|wax metabolic process|cutin biosynthetic process|response to water deprivation,|0003700|0003677,|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN8948_c1_g1_i1,TRINITY_DN8948_c1_g1_i1,59,29,73,27,40,51,365.086,65,TRINITY_DN8948_c1_g1_i1,ERF11_ARATH,PF00847.21,AP2 domain   ,|0006355|0006952|0009873,|regulation of transcription DNA-templated|defense response|ethylene-activated signaling pathway,|0003700|0003677|0003723,|DNA-binding transcription factor activity|DNA binding|RNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN11110_c0_g1_i7,TRINITY_DN11110_c0_g1_i7,25.225,43.158,40.263,20.049,24.241,39.603,0,0,TRINITY_DN11110_c0_g1_i7,NUP62_HUMAN,PF05064.14,Nsp1-like C-terminal region  ,|0006913|0015031|0034504|0050658|0072594|0010930,|nucleocytoplasmic transport|protein transport|protein localization to nucleus|RNA transport|establishment of protein localization to organelle|negative regulation of auxin mediated signaling pathway,|0017056|0005543|0005515,|structural constituent of nuclear pore|phospholipid binding|protein binding,|0005643|0034399|0005829,|nuclear pore|nuclear periphery|cytosol
TRINITY_DN2725_c0_g2_i2,TRINITY_DN2725_c0_g2_i2,41.144,26.541,11.097,15.176,4.313,26.48,0,0,TRINITY_DN2725_c0_g2_i2,ASA2_ORYSJ,PF00425.19,chorismate binding enzyme  ,|0000162|0010311|0009851|0009723|0009611|0015074|0006508,|tryptophan biosynthetic process|lateral root formation|auxin biosynthetic process|response to ethylene|response to wounding|DNA integration|proteolysis,|0004049|0004222|0008270|0003676,|anthranilate synthase activity|metalloendopeptidase activity|zinc ion binding|nucleic acid binding,|0009507|0005950|0009532|0031012|0016021,|chloroplast|anthranilate synthase complex|plastid stroma|extracellular matrix|integral component of membrane
TRINITY_DN8626_c0_g2_i1,TRINITY_DN8626_c0_g2_i1,53,17.393,106,31,36,48,120,109,TRINITY_DN8626_c0_g2_i1,HCT1_ORYSJ,PF02458.16,Transferase family   ,|0042616|0016102|0009963|0010252|0009809|0009820|0006468,|paclitaxel metabolic process|diterpenoid biosynthetic process|positive regulation of flavonoid biosynthetic process|auxin homeostasis|lignin biosynthetic process|alkaloid metabolic process|protein phosphorylation,|0016747|0004672|0005524,|transferase activity transferring acyl groups other than amino-acyl groups|protein kinase activity|ATP binding,|0005829|0016020,|cytosol|membrane
